state,popestimate2019,fips
12,115081,12035
12,12125,12037
12,45660,12039
12,18582,12041
12,13811,12043
12,13639,12045
12,14428,12047
12,26937,12049
12,42022,12051
12,193920,12053
12,106221,12055
12,1471968,12057
12,19617,12059
12,159923,12061
12,46414,12063
12,14246,12065
12,8422,12067
12,367118,12069
12,770577,12071
12,293582,12073
12,41503,12075
12,8354,12077
12,18493,12079
12,403253,12081
12,365579,12083
12,161000,12085
12,2716940,12086
12,74228,12087
12,88625,12089
12,210738,12091
12,42168,12093
12,1393452,12095
12,375751,12097
12,1496770,12099
12,553947,12101
12,974996,12103
12,724777,12105
12,74521,12107
12,264672,12109
12,328297,12111
12,184313,12113
12,433742,12115
12,471826,12117
12,132420,12119
12,44417,12121
12,21569,12123
12,15237,12125
12,553284,12127
12,33739,12129
12,74071,12131
12,25473,12133
13,10617423,13000
13,18386,13001
13,8165,13003
13,11164,13005
13,3038,13007
13,44890,13009
13,19234,13011
13,83240,13013
13,107738,13015
13,16700,13017
13,19397,13019
13,153159,13021
13,12873,13023
13,19109,13025
13,15457,13027
13,39627,13029
13,79608,13031
13,22383,13033
13,24936,13035
13,6189,13037
13,54666,13039
13,10803,13043
13,119992,13045
13,67580,13047
13,13392,13049
13,289430,13051
13,10907,13053
13,24789,13055
13,258773,13057
13,128331,13059
13,2834,13061
13,292256,13063
13,6618,13065
13,760141,13067
13,43273,13069
13,45600,13071
13,156714,13073
13,17270,13075
13,148509,13077
13,12404,13079
13,22372,13081
13,16116,13083
13,26108,13085
13,26404,13087
13,759297,13089
13,20605,13091
13,13390,13093
13,87956,13095
13,146343,13097
13,10190,13099
13,4006,13101
13,64296,13103
13,19194,13105
13,22646,13107
13,10654,13109
13,26188,13111
13,114421,13113
13,98498,13115
13,244252,13117
13,23349,13119
13,1063937,13121
13,31369,13123
13,2971,13125
13,85292,13127
13,57963,13129
13,24633,13131
13,18324,13133
13,936250,13135
13,45328,13137
13,204441,13139
13,8457,13141
13,29792,13143
13,35236,13145
13,26205,13147
13,11923,13149
13,234561,13151
13,157863,13153
13,9416,13155
13,72977,13157
13,14219,13159
13,15115,13161
13,15362,13163
13,8676,13165
13,9643,13167
13,28735,13169
13,19077,13171
13,10423,13173
13,47546,13175
13,29992,13177
13,61435,13179
13,7921,13181
13,19559,13183
13,117406,13185
13,33610,13187
13,21312,13189
13,14378,13191
13,12947,13193
13,29880,13195
13,8359,13197
13,21167,13199
13,5718,13201
13,21863,13205
13,27578,13207
13,9172,13209
13,19276,13211
13,40096,13213
13,195769,13215
13,111744,13217
13,40280,13219
13,15259,13221
13,168667,13223
13,27546,13225
13,32591,13227
13,19465,13229
13,18962,13231
13,42613,13233
13,11137,13235
13,22119,13237
13,2299,13239
13,17137,13241
13,6778,13243
13,202518,13245
13,90896,13247
13,5257,13249
13,13966,13251
13,8090,13253
13,66703,13255
13,25925,13257
13,6621,13259
13,29524,13261
13,6195,13263
13,1537,13265
13,25286,13267
13,8020,13269
13,15860,13271
13,8531,13273
13,44451,13275
13,40644,13277
13,26830,13279
13,12037,13281
13,6901,13283
13,69922,13285
13,7985,13287
13,8120,13289
13,24511,13291
13,26320,13293
13,69761,13295
13,94593,13297
13,35734,13299
13,5254,13301
13,20374,13303
13,29927,13305
13,2607,13307
13,7855,13309
13,30798,13311
13,104628,13313
13,8635,13315
13,9777,13317
13,8954,13319
13,20247,13321
15,1415872,15000
15,201513,15001
15,974563,15003
15,86,15005
15,72293,15007
15,167417,15009
16,1787065,16000
16,481587,16001
16,4294,16003
16,87808,16005
16,6125,16007
16,9298,16009
16,46811,16011
16,23021,16013
16,7831,16015
16,45739,16017
16,119062,16019
16,12245,16021
16,2597,16023
16,1106,16025
16,229849,16027
16,7155,16029
16,24030,16031
16,845,16033
16,8756,16035
16,4315,16037
16,27511,16039
16,13876,16041
16,13099,16043
16,18112,16045
16,15179,16047
16,16667,16049
16,29871,16051
16,24412,16053
16,165697,16055
16,40108,16057
16,8027,16059
16,3838,16061
16,5366,16063
16,39907,16065
16,21039,16067
16,40408,16069
16,4531,16071
16,11823,16073
16,23951,16075
16,7681,16077
16,12882,16079
16,12142,16081
16,86878,16083
16,11392,16085
16,10194,16087
17,12671821,17000
17,65435,17001
17,5761,17003
17,16426,17005
17,53544,17007
17,6578,17009
17,32628,17011
17,4739,17013
17,14305,17015
17,12147,17017
17,209689,17019
17,32304,17021
17,15441,17023
17,13184,17025
17,37562,17027
17,50621,17029
17,5150233,17031
17,18667,17033
17,10766,17035
17,104897,17037
17,15638,17039
17,19465,17041
17,922921,17043
17,17161,17045
17,6395,17047
17,34008,17049
17,21336,17051
17,12961,17053
17,38469,17055
17,34340,17057
17,4828,17059
17,12969,17061
17,51054,17063
17,8116,17065
17,17708,17067
17,3821,17069
17,6646,17071
17,48913,17073
17,27114,17075
17,56750,17077
17,9610,17079
17,37684,17081
17,21773,17083
17,21235,17085
17,12417,17087
17,532403,17089
17,109862,17091
17,128990,17093
17,49699,17095
17,696535,17097
17,108669,17099
17,15678,17101
17,34096,17103
17,35648,17105
17,28618,17107
17,29682,17109
17,307774,17111
17,171517,17113
17,104009,17115
17,44926,17117
17,262966,17119
17,37205,17121
17,11438,17123
17,13359,17125
17,13772,17127
17,12196,17129
17,15437,17131
17,34637,17133
17,28414,17135
17,33658,17137
17,14501,17139
17,50643,17141
17,179179,17143
17,20916,17145
17,16344,17147
17,15561,17149
17,4177,17151
17,5335,17153
17,5739,17155
17,31782,17157
17,15513,17159
17,141879,17161
17,259686,17163
17,23491,17165
17,194672,17167
17,6768,17169
17,4951,17171
17,21634,17173
17,5342,17175
17,44498,17177
17,131803,17179
17,16653,17181
17,75758,17183
17,11520,17185
17,16844,17187
17,13887,17189
17,16215,17191
17,13537,17193
17,55175,17195
17,690743,17197
17,66597,17199
17,282572,17201
17,38459,17203
18,6732219,18000
18,35777,18001
18,379299,18003
18,83779,18005
18,8748,18007
18,11758,18009
18,67843,18011
18,15092,18013
18,20257,18015
18,37689,18017
18,118302,18019
18,26225,18021
18,32399,18023
18,10577,18025
18,33351,18027
18,49458,18029
18,26559,18031
18,43475,18033
18,114135,18035
18,42736,18037
18,206341,18039
18,23102,18041
18,78522,18043
18,16346,18045
18,22758,18047
18,19974,18049
18,33659,18051
18,65769,18053
18,31922,18055
18,338011,18057
18,78168,18059
18,40515,18061
18,170311,18063
18,47972,18065
18,82544,18067
18,36520,18069
18,44231,18071
18,33562,18073
18,20436,18075
18,32308,18077
18,27735,18079
18,158167,18081
18,36594,18083
18,79456,18085
18,39614,18087
18,485493,18089
18,109888,18091
18,45370,18093
18,129569,18095
18,964582,18097
18,46258,18099
18,10255,18101
18,35516,18103
18,148431,18105
18,38338,18107
18,70489,18109
18,13984,18111
18,47744,18113
18,5875,18115
18,19646,18117
18,20799,18119
18,16937,18121
18,19169,18123
18,12389,18125
18,170389,18127
18,25427,18129
18,12353,18131
18,37576,18133
18,24665,18135
18,28324,18137
18,16581,18139
18,271826,18141
18,23873,18143
18,44729,18145
18,20277,18147
18,22995,18149
18,34594,18151
18,20669,18153
18,10751,18155
18,195732,18157
18,15148,18159
18,7054,18161
18,181451,18163
18,15498,18165
18,107038,18167
18,30996,18169
18,8265,18171
18,62998,18173
18,28036,18175
18,65884,18177
18,28296,18179
18,24102,18181
18,33964,18183
19,3155070,19000
19,7152,19001
19,3602,19003
19,13687,19005
19,12426,19007
19,5496,19009
19,25645,19011
19,131228,19013
19,26234,19015
19,25062,19017
19,21175,19019
19,19620,19021
19,14439,19023
19,9668,19025
19,20165,19027
19,12836,19029
19,18627,19031
19,42450,19033
19,11235,19035
19,11933,19037
19,9395,19039
19,16016,19041
19,17549,19043
19,46429,19045
19,16820,19047
19,93453,19049
19,9000,19051
19,7870,19053
19,17011,19055
19,38967,19057
19,17258,19059
19,97311,19061
19,9208,19063
19,19650,19065
19,15642,19067
19,10070,19069
19,6960,19071
19,8888,19073
19,12232,19075
19,10689,19077
19,14773,19079
19,10630,19081
19,16846,19083
19,14049,19085
19,19954,19087
19,9158,19089
19,9558,19091
19,6860,19093
19,16184,19095
19,19439,19097
19,37185,19099
19,18295,19101
19,151140,19103
19,20681,19105
19,10246,19107
19,14813,19109
19,33657,19111
19,226706,19113
19,11035,19115
19,8600,19117
19,11755,19119
19,16338,19121
19,22095,19123
19,33253,19125
19,39369,19127
19,15109,19129
19,10586,19131
19,8615,19133
19,7707,19135
19,9917,19137
19,42664,19139
19,13753,19141
19,5958,19143
19,15107,19145
19,8886,19147
19,25177,19149
19,6619,19151
19,490161,19153
19,93206,19155
19,18504,19157
19,4894,19159
19,9721,19161
19,172943,19163
19,11454,19165
19,34855,19167
19,97117,19169
19,16854,19171
19,6121,19173
19,12241,19175
19,7044,19177
19,34969,19179
19,51466,19181
19,21965,19183
19,6441,19185
19,35904,19187
19,10354,19189
19,19991,19191
19,103107,19193
19,7381,19195
19,12562,19197
20,2913314,20000
20,12369,20001
20,7858,20003
20,16073,20005
20,4427,20007
20,25779,20009
20,14534,20011
20,9564,20013
20,66911,20015
20,2648,20017
20,3250,20019
20,19939,20021
20,2657,20023
20,1994,20025
20,8002,20027
20,8786,20029
20,8179,20031
20,1700,20033
20,34908,20035
20,38818,20037
20,2827,20039
20,18466,20041
20,7600,20043
20,122259,20045
20,2798,20047
20,2530,20049
20,28553,20051
20,6102,20053
20,36467,20055
20,33619,20057
20,25544,20059
20,31670,20061
20,2636,20063
20,2482,20065
20,7150,20067
20,5988,20069
20,1232,20071
20,5982,20073
20,2539,20075
20,5436,20077
20,34429,20079
20,3968,20081
20,1794,20083
20,13171,20085
20,19043,20087
20,2879,20089
20,602401,20091
20,3838,20093
20,7152,20095
20,2475,20097
20,19618,20099
20,1535,20101
20,81758,20103
20,2962,20105
20,9703,20107
20,2794,20109
20,33195,20111
20,28542,20113
20,11884,20115
20,9707,20117
20,4033,20119
20,34237,20121
20,5979,20123
20,31829,20125
20,5620,20127
20,2587,20129
20,10231,20131
20,16007,20133
20,2750,20135
20,5361,20137
20,15949,20139
20,3421,20141
20,5704,20143
20,6414,20145
20,5234,20147
20,24383,20149
20,9164,20151
20,2530,20153
20,61998,20155
20,4636,20157
20,9537,20159
20,74232,20161
20,4920,20163
20,3036,20165
20,6856,20167
20,54224,20169
20,4823,20171
20,516042,20173
20,21428,20175
20,176875,20177
20,2521,20179
20,5917,20181
20,3583,20183
20,4156,20185
20,2006,20187
20,5485,20189
20,22836,20191
20,7777,20193
20,2803,20195
20,6931,20197
20,1518,20199
20,5406,20201
20,2119,20203
20,8525,20205
20,3138,20207
20,165429,20209
21,4467673,21000
21,19202,21001
21,21315,21003
21,22747,21005
21,7888,21007
21,44249,21009
21,12500,21011
21,26032,21013
21,133581,21015
21,19788,21017
21,46718,21019
21,30060,21021
21,8303,21023
21,12630,21025
21,20477,21027
21,81676,21029
21,12879,21031
21,12747,21033
21,39001,21035
21,93584,21037
21,4760,21039
21,10631,21041
21,26797,21043
21,16159,21045
21,70461,21047
21,36263,21049
21,19901,21051
21,10218,21053
21,8806,21055
21,6614,21057
21,101511,21059
21,12150,21061
21,7517,21063
21,14106,21065
21,323152,21067
21,14581,21069
21,35589,21071
21,50991,21073
21,5969,21075
21,8869,21077
21,17666,21079
21,25069,21081
21,37266,21083
21,26427,21085
21,10941,21087
21,35098,21089
21,8722,21091
21,110958,21093
21,26010,21095
21,18886,21097
21,19035,21099
21,45210,21101
21,16126,21103
21,4380,21105
21,44686,21107
21,13329,21109
21,766757,21111
21,54115,21113
21,22188,21115
21,166998,21117
21,14806,21119
21,31145,21121
21,14398,21123
21,60813,21125
21,15317,21127
21,7403,21129
21,9877,21131
21,21553,21133
21,13275,21135
21,24549,21137
21,9194,21139
21,27102,21141
21,8210,21143
21,65418,21145
21,17231,21147
21,9207,21149
21,92987,21151
21,12161,21153
21,19273,21155
21,31100,21157
21,11195,21159
21,17070,21161
21,28572,21163
21,6489,21165
21,21933,21167
21,10071,21169
21,10650,21171
21,28157,21173
21,13309,21175
21,30622,21177
21,46233,21179
21,7269,21181
21,23994,21183
21,66799,21185
21,10901,21187
21,4415,21189
21,14590,21191
21,25758,21193
21,57876,21195
21,12359,21197
21,64979,21199
21,2108,21201
21,16695,21203
21,24460,21205
21,17923,21207
21,57004,21209
21,49024,21211
21,18572,21213
21,19351,21215
21,25769,21217
21,12294,21219
21,14651,21221
21,8471,21223
21,14381,21225
21,132896,21227
21,12095,21229
21,20333,21231
21,12942,21233
21,36264,21235
21,7157,21237
21,26734,21239
22,4648794,22000
22,62045,22001
22,25627,22003
22,126604,22005
22,21891,22007
22,40144,22009
22,37497,22011
22,13241,22013
22,127039,22015
22,240204,22017
22,203436,22019
22,9918,22021
22,6973,22023
22,9494,22025
22,15670,22027
22,19259,22029
22,27463,22031
