OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
1238,08005085400,"Census Tract 854, Arapahoe County, Colorado",08005085400,ARAPAHOE,0.71,0,4543,6398.6
1239,08005086200,"Census Tract 862, Arapahoe County, Colorado",08005086200,ARAPAHOE,0.86,0,6675,7761.6
1240,08005085700,"Census Tract 857, Arapahoe County, Colorado",08005085700,ARAPAHOE,0.67,0,4515,6738.8
1241,08005083300,"Census Tract 833, Arapahoe County, Colorado",08005083300,ARAPAHOE,0.74,0,4413,5963.5
1242,08005084000,"Census Tract 840, Arapahoe County, Colorado",08005084000,ARAPAHOE,0.33,0,2570,7787.9
1243,08005007703,"Census Tract 77.03, Arapahoe County, Colorado",08005007703,ARAPAHOE,0.71,0,4769,6716.9
1244,08005082100,"Census Tract 821, Arapahoe County, Colorado",08005082100,ARAPAHOE,0.75,0,7453,9937.3
1245,08005081000,"Census Tract 810, Arapahoe County, Colorado",08005081000,ARAPAHOE,0.92,0,5922,6437
1246,08005080300,"Census Tract 803, Arapahoe County, Colorado",08005080300,ARAPAHOE,0.98,0,5512,5624.5
1247,08005080400,"Census Tract 804, Arapahoe County, Colorado",08005080400,ARAPAHOE,0.93,0,5101,5484.9
1248,08005080800,"Census Tract 808, Arapahoe County, Colorado",08005080800,ARAPAHOE,0.35,0,3463,9894.3
1249,08005080900,"Census Tract 809, Arapahoe County, Colorado",08005080900,ARAPAHOE,0.65,0,4763,7327.7
