OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
138,08015000401,"Census Tract 4.01, Chaffee County, Colorado",08015000401,CHAFFEE,367.78,1.08,4895,13.3
139,08015000402,"Census Tract 4.02, Chaffee County, Colorado",08015000402,CHAFFEE,177.65,0.04,3777,21.3
140,08015000100,"Census Tract 1, Chaffee County, Colorado",08015000100,CHAFFEE,1.52,0,2824,1857.9
141,08015000200,"Census Tract 2, Chaffee County, Colorado",08015000200,CHAFFEE,42.56,0.02,4184,98.3
142,08015000300,"Census Tract 3, Chaffee County, Colorado",08015000300,CHAFFEE,423.89,0.41,3138,7.4
143,08111972600,"Census Tract 9726, San Juan County, Colorado",08111972600,SAN JUAN,387.49,0.79,569,1.5
144,08085966502,"Census Tract 9665.02, Montrose County, Colorado",08085966502,MONTROSE,3.04,0,3766,1238.8
145,08085966601,"Census Tract 9666.01, Montrose County, Colorado",08085966601,MONTROSE,6.52,0,4692,719.6
146,08085966602,"Census Tract 9666.02, Montrose County, Colorado",08085966602,MONTROSE,223.82,0.02,4664,20.8
147,08085966201,"Census Tract 9662.01, Montrose County, Colorado",08085966201,MONTROSE,375.3,0.17,2423,6.5
148,08085966503,"Census Tract 9665.03, Montrose County, Colorado",08085966503,MONTROSE,28.34,0,3506,123.7
149,08085966501,"Census Tract 9665.01, Montrose County, Colorado",08085966501,MONTROSE,234.42,0.49,2895,12.3
150,08085966202,"Census Tract 9662.02, Montrose County, Colorado",08085966202,MONTROSE,252.07,0.95,4586,18.2
151,08085966100,"Census Tract 9661, Montrose County, Colorado",08085966100,MONTROSE,1109.8,0.26,2203,2
152,08085966400,"Census Tract 9664, Montrose County, Colorado",08085966400,MONTROSE,2.99,0,6087,2035.8
153,08085966300,"Census Tract 9663, Montrose County, Colorado",08085966300,MONTROSE,4.4,0,6086,1383.2
154,08007940400,"Census Tract 9404, Archuleta County, Colorado",08007940400,ARCHULETA,394.11,4.28,1260,3.2
155,08007974200,"Census Tract 9742, Archuleta County, Colorado",08007974200,ARCHULETA,28.77,0.47,5561,193.3
156,08007974400,"Census Tract 9744, Archuleta County, Colorado",08007974400,ARCHULETA,565.57,0.35,2430,4.3
157,08007974300,"Census Tract 9743, Archuleta County, Colorado",08007974300,ARCHULETA,361.73,0.24,3341,9.2
158,08093000500,"Census Tract 5, Park County, Colorado",08093000500,PARK,801.28,10.18,2526,3.2
159,08093000400,"Census Tract 4, Park County, Colorado",08093000400,PARK,924.29,5.79,1722,1.9
160,08093000100,"Census Tract 1, Park County, Colorado",08093000100,PARK,190.89,0.25,6243,32.7
161,08093000300,"Census Tract 3, Park County, Colorado",08093000300,PARK,109.15,0.47,2823,25.9
162,08093000200,"Census Tract 2, Park County, Colorado",08093000200,PARK,168.24,0.12,3586,21.3
163,08001009606,"Census Tract 96.06, Adams County, Colorado",08001009606,ADAMS,0.72,0.09,2817,3912.5
164,08001009320,"Census Tract 93.20, Adams County, Colorado",08001009320,ADAMS,0.74,0,2760,3729.7
165,08001009409,"Census Tract 94.09, Adams County, Colorado",08001009409,ADAMS,1.48,0,5494,3712.2
166,08001009322,"Census Tract 93.22, Adams County, Colorado",08001009322,ADAMS,0.5,0,4590,9180
167,08001009607,"Census Tract 96.07, Adams County, Colorado",08001009607,ADAMS,0.88,0.15,4981,5660.2
168,08001009304,"Census Tract 93.04, Adams County, Colorado",08001009304,ADAMS,1.24,0.11,6016,4851.6
169,08001060200,"Census Tract 602, Adams County, Colorado",08001060200,ADAMS,1.89,0.03,3855,2039.7
170,08001009325,"Census Tract 93.25, Adams County, Colorado",08001009325,ADAMS,1.47,0.02,5281,3592.5
171,08069001601,"Census Tract 16.01, Larimer County, Colorado",08069001601,LARIMER,2.26,0.29,1603,709.3
172,08069001301,"Census Tract 13.01, Larimer County, Colorado",08069001301,LARIMER,19.8,1.64,3583,181
173,08069001114,"Census Tract 11.14, Larimer County, Colorado",08069001114,LARIMER,3.32,0.01,2353,708.7
174,08069001113,"Census Tract 11.13, Larimer County, Colorado",08069001113,LARIMER,1.01,0,3591,3555.4
175,08069001107,"Census Tract 11.07, Larimer County, Colorado",08069001107,LARIMER,1.01,0,5380,5326.7
176,08069001104,"Census Tract 11.04, Larimer County, Colorado",08069001104,LARIMER,1.02,0,6417,6291.2
177,08069001112,"Census Tract 11.12, Larimer County, Colorado",08069001112,LARIMER,2.52,0.08,4915,1950.4
178,08069001010,"Census Tract 10.10, Larimer County, Colorado",08069001010,LARIMER,1.11,0.01,2546,2293.7
179,08069001007,"Census Tract 10.07, Larimer County, Colorado",08069001007,LARIMER,1.08,0.24,3561,3297.2
180,08069000300,"Census Tract 3, Larimer County, Colorado",08069000300,LARIMER,2.74,0.15,2928,1068.6
181,08069002700,"Census Tract 27, Larimer County, Colorado",08069002700,LARIMER,5.18,0.16,5981,1154.6
182,08069002600,"Census Tract 26, Larimer County, Colorado",08069002600,LARIMER,53.03,4.13,7339,138.4
183,08001015000,"Census Tract 150, Adams County, Colorado",08001015000,ADAMS,5.64,0.23,2884,511.3
184,08001008538,"Census Tract 85.38, Adams County, Colorado",08001008538,ADAMS,4.44,0,6898,1553.6
185,08001009326,"Census Tract 93.26, Adams County, Colorado",08001009326,ADAMS,0.48,0.01,2620,5458.3
186,08001009206,"Census Tract 92.06, Adams County, Colorado",08001009206,ADAMS,0.5,0,2163,4326
187,08001008546,"Census Tract 85.46, Adams County, Colorado",08001008546,ADAMS,0.51,0,3436,6737.3
188,08001008526,"Census Tract 85.26, Adams County, Colorado",08001008526,ADAMS,2.8,0.04,6660,2378.6
189,08001008901,"Census Tract 89.01, Adams County, Colorado",08001008901,ADAMS,3.13,0.15,2494,796.8
190,08001009608,"Census Tract 96.08, Adams County, Colorado",08001009608,ADAMS,0.52,0.05,3144,6046.2
191,08001009604,"Census Tract 96.04, Adams County, Colorado",08001009604,ADAMS,0.86,0,4496,5227.9
192,08001009202,"Census Tract 92.02, Adams County, Colorado",08001009202,ADAMS,0.68,0,4555,6698.5
193,08001008801,"Census Tract 88.01, Adams County, Colorado",08001008801,ADAMS,1.5,0,5873,3915.3
194,08001009401,"Census Tract 94.01, Adams County, Colorado",08001009401,ADAMS,1.33,0,5362,4031.6
195,08001009406,"Census Tract 94.06, Adams County, Colorado",08001009406,ADAMS,0.67,0,4569,6819.4
196,08001008542,"Census Tract 85.42, Adams County, Colorado",08001008542,ADAMS,3.73,0,8614,2309.4
197,08001008536,"Census Tract 85.36, Adams County, Colorado",08001008536,ADAMS,2.8,0.01,3054,1090.7
198,08001008539,"Census Tract 85.39, Adams County, Colorado",08001008539,ADAMS,4.78,0.01,10259,2146.2
199,08001009327,"Census Tract 93.27, Adams County, Colorado",08001009327,ADAMS,0.98,0.04,4031,4113.3
200,08001009207,"Census Tract 92.07, Adams County, Colorado",08001009207,ADAMS,0.61,0,4891,8018
201,08001008548,"Census Tract 85.48, Adams County, Colorado",08001008548,ADAMS,0.48,0,1544,3216.7
202,08001060100,"Census Tract 601, Adams County, Colorado",08001060100,ADAMS,2.51,0.12,7407,2951
203,08001009410,"Census Tract 94.10, Adams County, Colorado",08001009410,ADAMS,1.05,0.02,3106,2958.1
204,08001008802,"Census Tract 88.02, Adams County, Colorado",08001008802,ADAMS,5.24,0.63,5081,969.7
205,08001008529,"Census Tract 85.29, Adams County, Colorado",08001008529,ADAMS,2.35,0.19,7637,3249.8
206,08001008534,"Census Tract 85.34, Adams County, Colorado",08001008534,ADAMS,0.9,0.01,4726,5251.1
207,08001009103,"Census Tract 91.03, Adams County, Colorado",08001009103,ADAMS,1.84,0.14,3918,2129.3
208,08001008603,"Census Tract 86.03, Adams County, Colorado",08001008603,ADAMS,0.71,0.03,1954,2752.1
209,08001009408,"Census Tract 94.08, Adams County, Colorado",08001009408,ADAMS,1.47,0.02,4595,3125.9
210,08001008524,"Census Tract 85.24, Adams County, Colorado",08001008524,ADAMS,1.92,0.02,8129,4233.9
211,08001008508,"Census Tract 85.08, Adams County, Colorado",08001008508,ADAMS,0.97,0.01,5986,6171.1
212,08001008401,"Census Tract 84.01, Adams County, Colorado",08001008401,ADAMS,192.58,1.44,4747,24.6
213,08001008523,"Census Tract 85.23, Adams County, Colorado",08001008523,ADAMS,74.96,3.5,8228,109.8
214,08001008402,"Census Tract 84.02, Adams County, Colorado",08001008402,ADAMS,670.31,6.58,4984,7.4
215,08069002802,"Census Tract 28.02, Larimer County, Colorado",08069002802,LARIMER,42.16,0.17,5745,136.3
216,08069002503,"Census Tract 25.03, Larimer County, Colorado",08069002503,LARIMER,320.31,3.09,3191,10
217,08069001608,"Census Tract 16.08, Larimer County, Colorado",08069001608,LARIMER,6.13,1.25,5740,936.4
218,08069001607,"Census Tract 16.07, Larimer County, Colorado",08069001607,LARIMER,0.98,0,3948,4028.6
219,08125963100,"Census Tract 9631, Yuma County, Colorado",08125963100,YUMA,1330.34,3.77,4642,3.5
220,08001008547,"Census Tract 85.47, Adams County, Colorado",08001008547,ADAMS,0.46,0,3980,8652.2
221,08001008543,"Census Tract 85.43, Adams County, Colorado",08001008543,ADAMS,2.68,0.01,8806,3285.8
222,08001008544,"Census Tract 85.44, Adams County, Colorado",08001008544,ADAMS,1.01,0.01,5324,5271.3
223,08001008545,"Census Tract 85.45, Adams County, Colorado",08001008545,ADAMS,1.2,0.02,7506,6255
224,08001060000,"Census Tract 600, Adams County, Colorado",08001060000,ADAMS,7.96,0.09,5449,684.5
225,08001061200,"Census Tract 612, Adams County, Colorado",08001061200,ADAMS,4.1,0.06,2017,492
226,08001008549,"Census Tract 85.49, Adams County, Colorado",08001008549,ADAMS,0.51,0,4320,8470.6
227,08001008551,"Census Tract 85.51, Adams County, Colorado",08001008551,ADAMS,3.37,0.1,1547,459.1
228,08069001606,"Census Tract 16.06, Larimer County, Colorado",08069001606,LARIMER,1.25,0.01,3135,2508
229,08069000505,"Census Tract 5.05, Larimer County, Colorado",08069000505,LARIMER,0.49,0,3737,7626.5
230,08069000202,"Census Tract 2.02, Larimer County, Colorado",08069000202,LARIMER,0.74,0.03,2390,3229.7
231,08069001307,"Census Tract 13.07, Larimer County, Colorado",08069001307,LARIMER,3.5,0.2,4436,1267.4
232,08069002801,"Census Tract 28.01, Larimer County, Colorado",08069002801,LARIMER,11.12,0.26,3664,329.5
233,08069001808,"Census Tract 18.08, Larimer County, Colorado",08069001808,LARIMER,17.44,0.28,5050,289.6
234,08069001605,"Census Tract 16.05, Larimer County, Colorado",08069001605,LARIMER,5.91,0.35,4864,823
235,08069002502,"Census Tract 25.02, Larimer County, Colorado",08069002502,LARIMER,47.86,3.7,10139,211.8
236,08069002501,"Census Tract 25.01, Larimer County, Colorado",08069002501,LARIMER,32.96,2.79,10128,307.3
237,08069002011,"Census Tract 20.11, Larimer County, Colorado",08069002011,LARIMER,5.71,0.34,5505,964.1
238,08001008550,"Census Tract 85.50, Adams County, Colorado",08001008550,ADAMS,1.69,0.02,7997,4732
239,08001008541,"Census Tract 85.41, Adams County, Colorado",08001008541,ADAMS,14.02,0.32,5338,380.7
240,08001008540,"Census Tract 85.40, Adams County, Colorado",08001008540,ADAMS,5.05,0.24,7753,1535.2
241,08001008535,"Census Tract 85.35, Adams County, Colorado",08001008535,ADAMS,5.85,0.37,3832,655
242,08001008537,"Census Tract 85.37, Adams County, Colorado",08001008537,ADAMS,4.62,0.04,6933,1500.6
243,08001008606,"Census Tract 86.06, Adams County, Colorado",08001008606,ADAMS,1.48,0.07,6818,4606.8
245,08001009104,"Census Tract 91.04, Adams County, Colorado",08001009104,ADAMS,1.01,0,5967,5907.9
246,08069002010,"Census Tract 20.10, Larimer County, Colorado",08069002010,LARIMER,9.31,0.89,2620,281.4
247,08069001809,"Census Tract 18.09, Larimer County, Colorado",08069001809,LARIMER,35.37,0.07,11350,320.9
248,08069001709,"Census Tract 17.09, Larimer County, Colorado",08069001709,LARIMER,46.58,4.53,15869,340.7
249,08069001708,"Census Tract 17.08, Larimer County, Colorado",08069001708,LARIMER,1.51,0.1,4090,2708.6
250,08069001308,"Census Tract 13.08, Larimer County, Colorado",08069001308,LARIMER,10.49,1.56,5649,538.5
251,08069000802,"Census Tract 8.02, Larimer County, Colorado",08069000802,LARIMER,0.4,0,1228,3070
252,08069000801,"Census Tract 8.01, Larimer County, Colorado",08069000801,LARIMER,0.42,0,1568,3733.3
253,08069000506,"Census Tract 5.06, Larimer County, Colorado",08069000506,LARIMER,0.49,0,3329,6793.9
254,08069000504,"Census Tract 5.04, Larimer County, Colorado",08069000504,LARIMER,0.5,0,3308,6616
255,08069000503,"Census Tract 5.03, Larimer County, Colorado",08069000503,LARIMER,0.5,0,5847,11694
256,08069000402,"Census Tract 4.02, Larimer County, Colorado",08069000402,LARIMER,0.99,0.02,2428,2452.5
257,08069000401,"Census Tract 4.01, Larimer County, Colorado",08069000401,LARIMER,0.51,0,2009,3939.2
258,08069000201,"Census Tract 2.01, Larimer County, Colorado",08069000201,LARIMER,0.38,0,3065,8065.8
259,08069001902,"Census Tract 19.02, Larimer County, Colorado",08069001902,LARIMER,1.2,0.1,4548,3790
260,08001008604,"Census Tract 86.04, Adams County, Colorado",08001008604,ADAMS,0.84,0,5111,6084.5
261,08001008605,"Census Tract 86.05, Adams County, Colorado",08001008605,ADAMS,0.77,0,3927,5100
262,08001009553,"Census Tract 95.53, Adams County, Colorado",08001009553,ADAMS,2.9,0.08,3284,1132.4
263,08001008706,"Census Tract 87.06, Adams County, Colorado",08001008706,ADAMS,0.73,0,5253,7195.9
264,08001009101,"Census Tract 91.01, Adams County, Colorado",08001009101,ADAMS,0.72,0,4876,6772.2
265,08001009002,"Census Tract 90.02, Adams County, Colorado",08001009002,ADAMS,1.18,0.01,9860,8355.9
266,08069002007,"Census Tract 20.07, Larimer County, Colorado",08069002007,LARIMER,1.84,0.18,3288,1787
267,08069002005,"Census Tract 20.05, Larimer County, Colorado",08069002005,LARIMER,1,0,5525,5525
268,08069002008,"Census Tract 20.08, Larimer County, Colorado",08069002008,LARIMER,1.24,0.01,4111,3315.3
269,08069001903,"Census Tract 19.03, Larimer County, Colorado",08069001903,LARIMER,260.93,0.34,3475,13.3
270,08069001804,"Census Tract 18.04, Larimer County, Colorado",08069001804,LARIMER,1.19,0.7,3908,3284
271,08069001901,"Census Tract 19.01, Larimer County, Colorado",08069001901,LARIMER,1.68,0.16,4422,2632.1
272,08069001807,"Census Tract 18.07, Larimer County, Colorado",08069001807,LARIMER,1.47,0.01,6051,4116.3
273,08001009308,"Census Tract 93.08, Adams County, Colorado",08001009308,ADAMS,0.57,0.01,4500,7894.7
274,08001009001,"Census Tract 90.01, Adams County, Colorado",08001009001,ADAMS,0.81,0,4528,5590.1
275,08001009306,"Census Tract 93.06, Adams County, Colorado",08001009306,ADAMS,0.64,0.01,3469,5420.3
276,08001009318,"Census Tract 93.18, Adams County, Colorado",08001009318,ADAMS,0.49,0.01,6891,14063.3
277,08001008705,"Census Tract 87.05, Adams County, Colorado",08001008705,ADAMS,0.94,0,5197,5528.7
278,08001008533,"Census Tract 85.33, Adams County, Colorado",08001008533,ADAMS,1.29,0.01,7978,6184.5
279,08001009204,"Census Tract 92.04, Adams County, Colorado",08001009204,ADAMS,0.96,0.02,7486,7797.9
280,08001008507,"Census Tract 85.07, Adams County, Colorado",08001008507,ADAMS,1.01,0,6927,6858.4
281,08069001707,"Census Tract 17.07, Larimer County, Colorado",08069001707,LARIMER,1.31,0,5915,4515.3
282,08069001806,"Census Tract 18.06, Larimer County, Colorado",08069001806,LARIMER,2.44,0.01,7898,3236.9
283,08069001704,"Census Tract 17.04, Larimer County, Colorado",08069001704,LARIMER,3.3,0.03,9486,2874.5
284,08069001706,"Census Tract 17.06, Larimer County, Colorado",08069001706,LARIMER,1.84,0.28,6654,3616.3
285,08069001109,"Census Tract 11.09, Larimer County, Colorado",08069001109,LARIMER,0.81,0,4809,5937
286,08069001106,"Census Tract 11.06, Larimer County, Colorado",08069001106,LARIMER,0.83,0,4855,5849.4
287,08069001111,"Census Tract 11.11, Larimer County, Colorado",08069001111,LARIMER,0.87,0,2350,2701.1
288,08001009203,"Census Tract 92.03, Adams County, Colorado",08001009203,ADAMS,1.04,0.02,4200,4038.5
289,08001008505,"Census Tract 85.05, Adams County, Colorado",08001008505,ADAMS,1.18,0.01,7058,5981.4
290,08001008506,"Census Tract 85.06, Adams County, Colorado",08001008506,ADAMS,0.65,0.02,6379,9813.8
291,08001009501,"Census Tract 95.01, Adams County, Colorado",08001009501,ADAMS,0.43,0,3132,7283.7
292,08001009502,"Census Tract 95.02, Adams County, Colorado",08001009502,ADAMS,1.62,0.07,4439,2740.1
293,08001009309,"Census Tract 93.09, Adams County, Colorado",08001009309,ADAMS,0.49,0,4040,8244.9
294,08001009310,"Census Tract 93.10, Adams County, Colorado",08001009310,ADAMS,0.58,0,5591,9639.7
295,08001009319,"Census Tract 93.19, Adams County, Colorado",08001009319,ADAMS,0.26,0,2550,9807.7
296,08069001110,"Census Tract 11.10, Larimer County, Colorado",08069001110,LARIMER,1,0.01,5770,5770
297,08069001008,"Census Tract 10.08, Larimer County, Colorado",08069001008,LARIMER,0.63,0.01,1987,3154
298,08069001004,"Census Tract 10.04, Larimer County, Colorado",08069001004,LARIMER,0.71,0.06,3363,4736.6
299,08069001003,"Census Tract 10.03, Larimer County, Colorado",08069001003,LARIMER,1.17,0,5069,4332.5
300,08069000902,"Census Tract 9.02, Larimer County, Colorado",08069000902,LARIMER,0.75,0.04,3667,4889.3
301,08069001603,"Census Tract 16.03, Larimer County, Colorado",08069001603,LARIMER,1.24,0,5807,4683.1
302,08069000901,"Census Tract 9.01, Larimer County, Colorado",08069000901,LARIMER,1.14,0,5435,4767.5
303,08069001304,"Census Tract 13.04, Larimer County, Colorado",08069001304,LARIMER,1.5,0.05,2655,1770
304,08069000700,"Census Tract 7, Larimer County, Colorado",08069000700,LARIMER,0.51,0,3009,5900
305,08001009316,"Census Tract 93.16, Adams County, Colorado",08001009316,ADAMS,0.87,0,7337,8433.3
306,08001009603,"Census Tract 96.03, Adams County, Colorado",08001009603,ADAMS,0.84,0,6395,7613.1
307,08001009321,"Census Tract 93.21, Adams County, Colorado",08001009321,ADAMS,0.51,0,3818,7486.3
308,08001009407,"Census Tract 94.07, Adams County, Colorado",08001009407,ADAMS,0.73,0,5357,7338.4
309,08001009323,"Census Tract 93.23, Adams County, Colorado",08001009323,ADAMS,0.81,0,3923,4843.2
310,08001009411,"Census Tract 94.11, Adams County, Colorado",08001009411,ADAMS,0.5,0,3029,6058
311,08001009307,"Census Tract 93.07, Adams County, Colorado",08001009307,ADAMS,0.69,0,3830,5550.7
312,08069000600,"Census Tract 6, Larimer County, Colorado",08069000600,LARIMER,0.76,0,6560,8631.6
313,08069001009,"Census Tract 10.09, Larimer County, Colorado",08069001009,LARIMER,2.61,0.09,6095,2335.2
314,08069000100,"Census Tract 1, Larimer County, Colorado",08069000100,LARIMER,0.73,0.01,2562,3509.6
315,08069002300,"Census Tract 23, Larimer County, Colorado",08069002300,LARIMER,39.04,3.2,3246,83.1
316,08069001602,"Census Tract 16.02, Larimer County, Colorado",08069001602,LARIMER,1.23,0.01,5122,4164.2
317,08069001306,"Census Tract 13.06, Larimer County, Colorado",08069001306,LARIMER,3.6,0.07,2559,710.8
318,08069001305,"Census Tract 13.05, Larimer County, Colorado",08069001305,LARIMER,1.1,0.01,2427,2206.4
319,08059010209,"Census Tract 102.09, Jefferson County, Colorado",08059010209,JEFFERSON,0.99,0,6362,6426.3
320,08059010305,"Census Tract 103.05, Jefferson County, Colorado",08059010305,JEFFERSON,0.64,0,3894,6084.4
321,08059009832,"Census Tract 98.32, Jefferson County, Colorado",08059009832,JEFFERSON,0.51,0,2821,5531.4
322,08059009833,"Census Tract 98.33, Jefferson County, Colorado",08059009833,JEFFERSON,0.98,0.07,6003,6125.5
323,08059009834,"Census Tract 98.34, Jefferson County, Colorado",08059009834,JEFFERSON,0.71,0,4518,6363.4
324,08059009831,"Census Tract 98.31, Jefferson County, Colorado",08059009831,JEFFERSON,0.71,0,2548,3588.7
325,08059010210,"Census Tract 102.10, Jefferson County, Colorado",08059010210,JEFFERSON,1.08,0.02,3738,3461.1
326,08059010206,"Census Tract 102.06, Jefferson County, Colorado",08059010206,JEFFERSON,1.25,0.02,4147,3317.6
327,08059009835,"Census Tract 98.35, Jefferson County, Colorado",08059009835,JEFFERSON,0.72,0.07,3850,5347.2
328,08059009828,"Census Tract 98.28, Jefferson County, Colorado",08059009828,JEFFERSON,1.6,0.01,5563,3476.9
329,08059010205,"Census Tract 102.05, Jefferson County, Colorado",08059010205,JEFFERSON,0.85,0,2434,2863.5
330,08059010303,"Census Tract 103.03, Jefferson County, Colorado",08059010303,JEFFERSON,1.18,0,5447,4616.1
331,08087000600,"Census Tract 6, Morgan County, Colorado",08087000600,MORGAN,112.55,0,6112,54.3
332,08087000200,"Census Tract 2, Morgan County, Colorado",08087000200,MORGAN,290.56,5.71,2893,10
333,08087000100,"Census Tract 1, Morgan County, Colorado",08087000100,MORGAN,510.73,6.79,2862,5.6
334,08087000500,"Census Tract 5, Morgan County, Colorado",08087000500,MORGAN,1.37,0,2268,1655.5
335,08087000800,"Census Tract 8, Morgan County, Colorado",08087000800,MORGAN,337.47,0.12,1702,5
336,08087000400,"Census Tract 4, Morgan County, Colorado",08087000400,MORGAN,1.28,0,4160,3250
337,08087000300,"Census Tract 3, Morgan County, Colorado",08087000300,MORGAN,15.88,0.64,2099,132.2
338,08087000700,"Census Tract 7, Morgan County, Colorado",08087000700,MORGAN,10.59,0.04,6027,569.1
339,08059009830,"Census Tract 98.30, Jefferson County, Colorado",08059009830,JEFFERSON,0.34,0,2285,6720.6
340,08059009829,"Census Tract 98.29, Jefferson County, Colorado",08059009829,JEFFERSON,1.29,1.94,1925,1492.2
341,08059010212,"Census Tract 102.12, Jefferson County, Colorado",08059010212,JEFFERSON,0.87,0,4283,4923
342,08059009824,"Census Tract 98.24, Jefferson County, Colorado",08059009824,JEFFERSON,1.01,0.04,4918,4869.3
343,08059009823,"Census Tract 98.23, Jefferson County, Colorado",08059009823,JEFFERSON,0.69,0,4864,7049.3
344,08059010208,"Census Tract 102.08, Jefferson County, Colorado",08059010208,JEFFERSON,1.15,0,6090,5295.7
345,08059010213,"Census Tract 102.13, Jefferson County, Colorado",08059010213,JEFFERSON,1.06,0.01,5043,4757.5
346,08059010304,"Census Tract 103.04, Jefferson County, Colorado",08059010304,JEFFERSON,0.52,0,2814,5411.5
347,08059009839,"Census Tract 98.39, Jefferson County, Colorado",08059009839,JEFFERSON,0.7,0,2356,3365.7
348,08059060300,"Census Tract 603, Jefferson County, Colorado",08059060300,JEFFERSON,0.72,0,4595,6381.9
349,08059060500,"Census Tract 605, Jefferson County, Colorado",08059060500,JEFFERSON,22.8,0.23,5699,250
350,08059060400,"Census Tract 604, Jefferson County, Colorado",08059060400,JEFFERSON,2.02,0.01,3562,1763.4
351,08059009851,"Census Tract 98.51, Jefferson County, Colorado",08059009851,JEFFERSON,1.36,0.17,3810,2801.5
352,08059009837,"Census Tract 98.37, Jefferson County, Colorado",08059009837,JEFFERSON,8.43,0.49,3937,467
353,08059009838,"Census Tract 98.38, Jefferson County, Colorado",08059009838,JEFFERSON,1.69,0,5999,3549.7
354,08059009827,"Census Tract 98.27, Jefferson County, Colorado",08059009827,JEFFERSON,1.69,0.06,6215,3677.5
355,08059009815,"Census Tract 98.15, Jefferson County, Colorado",08059009815,JEFFERSON,2.11,0.01,5249,2487.7
356,08059009808,"Census Tract 98.08, Jefferson County, Colorado",08059009808,JEFFERSON,103.93,0.5,5720,55
357,08059009840,"Census Tract 98.40, Jefferson County, Colorado",08059009840,JEFFERSON,0.74,0,4047,5468.9
358,08059009836,"Census Tract 98.36, Jefferson County, Colorado",08059009836,JEFFERSON,2.38,0.01,4057,1704.6
359,08115968300,"Census Tract 9683, Sedgwick County, Colorado",08115968300,SEDGWICK,548.04,1.36,2357,4.3
360,08059010211,"Census Tract 102.11, Jefferson County, Colorado",08059010211,JEFFERSON,0.7,0,3514,5020
361,08059010307,"Census Tract 103.07, Jefferson County, Colorado",08059010307,JEFFERSON,0.57,0,5041,8843.9
362,08059010306,"Census Tract 103.06, Jefferson County, Colorado",08059010306,JEFFERSON,0.57,0,2937,5152.6
363,08059009841,"Census Tract 98.41, Jefferson County, Colorado",08059009841,JEFFERSON,0.5,0,2356,4712
364,08095967600,"Census Tract 9676, Phillips County, Colorado",08095967600,PHILLIPS,378.93,0.1,3010,7.9
365,08095967700,"Census Tract 9677, Phillips County, Colorado",08095967700,PHILLIPS,309,0.02,1317,4.3
366,08013013003,"Census Tract 130.03, Boulder County, Colorado",08013013003,BOULDER,4.73,0.03,6267,1324.9
367,08013013401,"Census Tract 134.01, Boulder County, Colorado",08013013401,BOULDER,1.22,0.06,3529,2892.6
368,08013013503,"Census Tract 135.03, Boulder County, Colorado",08013013503,BOULDER,0.75,0,5735,7646.7
369,08013013006,"Census Tract 130.06, Boulder County, Colorado",08013013006,BOULDER,1.24,0,6030,4862.9
370,08013012203,"Census Tract 122.03, Boulder County, Colorado",08013012203,BOULDER,2.5,0.07,7067,2826.8
371,08013013402,"Census Tract 134.02, Boulder County, Colorado",08013013402,BOULDER,2.18,0.01,7521,3450
372,08013013210,"Census Tract 132.10, Boulder County, Colorado",08013013210,BOULDER,2.16,0.09,5040,2333.3
373,08013013302,"Census Tract 133.02, Boulder County, Colorado",08013013302,BOULDER,1.46,0.02,4682,3206.8
374,08013013307,"Census Tract 133.07, Boulder County, Colorado",08013013307,BOULDER,0.75,0.01,3687,4916
375,08013013308,"Census Tract 133.08, Boulder County, Colorado",08013013308,BOULDER,0.76,0,3509,4617.1
376,08013012510,"Census Tract 125.10, Boulder County, Colorado",08013012510,BOULDER,19.57,0.03,4493,229.6
377,08013012907,"Census Tract 129.07, Boulder County, Colorado",08013012907,BOULDER,2.51,0.02,3516,1400.8
378,08013013305,"Census Tract 133.05, Boulder County, Colorado",08013013305,BOULDER,0.76,0,5222,6871.1
379,08013060900,"Census Tract 609, Boulder County, Colorado",08013060900,BOULDER,2.97,0.01,4603,1549.8
380,08013012509,"Census Tract 125.09, Boulder County, Colorado",08013012509,BOULDER,0.68,0.02,3393,4989.7
381,08013013208,"Census Tract 132.08, Boulder County, Colorado",08013013208,BOULDER,1.25,0.01,5876,4700.8
382,08013012701,"Census Tract 127.01, Boulder County, Colorado",08013012701,BOULDER,18.03,1.42,6049,335.5
383,08013012507,"Census Tract 125.07, Boulder County, Colorado",08013012507,BOULDER,0.63,0,4462,7082.5
384,08013012505,"Census Tract 125.05, Boulder County, Colorado",08013012505,BOULDER,5.82,0,3948,678.4
385,08013013201,"Census Tract 132.01, Boulder County, Colorado",08013013201,BOULDER,22.6,1.51,1618,71.6
386,08013013211,"Census Tract 132.11, Boulder County, Colorado",08013013211,BOULDER,20.23,0.92,6005,296.8
387,08013013207,"Census Tract 132.07, Boulder County, Colorado",08013013207,BOULDER,2.11,0.41,4498,2131.8
388,08013012101,"Census Tract 121.01, Boulder County, Colorado",08013012101,BOULDER,1.1,0,4685,4259.1
389,08013013205,"Census Tract 132.05, Boulder County, Colorado",08013013205,BOULDER,8.81,0.01,5671,643.7
390,08013013306,"Census Tract 133.06, Boulder County, Colorado",08013013306,BOULDER,0.77,0,5143,6679.2
391,08013012201,"Census Tract 122.01, Boulder County, Colorado",08013012201,BOULDER,2.05,0,3915,1909.8
392,08013012705,"Census Tract 127.05, Boulder County, Colorado",08013012705,BOULDER,1.69,0.05,4088,2418.9
393,08013012708,"Census Tract 127.08, Boulder County, Colorado",08013012708,BOULDER,2.17,0.01,5126,2362.2
